FID,Shape *,KEYFIELD1,CALYEAR,CRASHNUM,CASENUMBER,AGENCY,DISTRICT,DOTCOUNTY,CRASHDATE,CRASHTIME,DAYOFWEEK,DHSCNTYCTY,TOWNNAME,INTOWNFLAG,ONROADNAME,INROADNAME,REFDIST,REFMEAS,REFDIRECT,ROADWAYID,LOCMILEPT,LOCNODE,SRROUTEID,USROUTEID,SIDEOFROAD,CRASHLANE,ROADCATGRY,SKIDNUMBER,SKIDTESTDT,RCIFEDHWY,RCIFUNCLAS,RCIACC,RCIPLACECD,RCILANDUSE,RCISURFWTH,RCISLDTYP1,RCISLDTYP2,RCISLDTYP3,RCISLDWTH1,RCISLDWTH2,RCISLDWTH3,RCIMEDWDTH,RCIAADT,RCIAVGTFCT,RCIHZDGCRV,RCIMAXSPD,RCITYPPARK,HIGHESTINJ,CRSHALCDRG,SITELOCA,LIGHTCOND,WEATHCOND,RDSURFCOND,DIV_UNDIV,TRAFCNTL1,TRAFCNTL2,CNTOFLANES,RDSURFTYPE,ROADCOND1,ROADCOND2,VISIBLTY1,VISIBLTY2,CRSHEVENT1,CRSHCAUSE1,CNTOFINJ,CNTOFFATL,CNTOFSVINJ,CNTOFPEDES,CNTOFDRVRS,CNTOFCYCLS,CNTOFVEH,CNTOFPERS,CNTNONTFTL,TOTCRSHDMG,TOTVEHDMG,TOTOTHRDMG,WORKZONE,FLAG_CMV,FLAG_INT,FL_LANEDEP,FL_AGGRSV,FL_VRU_PED,FL_VRU_BIK,FLELDERPED,FLPED5064,FLPED6569,FLPED7074,FLPED7579,FLPED80UP,FLMINORPED,FLELDERBIK,FLBIK5064,FLBIK6569,FLBIK7074,FLBIK7579,FLBIK80UP,FLMINORBIK,FL_VRU_MOT,FLMOT5064,FLMOT6569,FLMOT7074,FLMOT7579,FLMOT80UP,FL_AR_TEEN,FL_AR_AG,FL_AG5064,FL_AG6569,FL_AG7074,FL_AG7579,FL_AG80UP,FLAG_IMP,FL_IMP_PED,FLAG_DIST,FLAG_MIN,FLNOBTKID,FLNOBTMIN,FLNOBTTEEN,FL_NOBELT,LATITUDE,LONGITUDE,XCOORDINAT,YCOORDINAT,COORDSYS,MAPSOURCE,MAPVERSION,DTPUBLISHE,DTCARXTRCT,DTCOORDXTR,LINESEGID
143,Point M,2.00505E+12,2005,49772650,FHPE05OFF022637,F,6,87,4/24/2005,730,7,166,MIAMI,Y,SR 9A,151ST ST NW,500,FT,N,87270000,11.904,7823,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,4,0,1,1,1,1,2,1,0,0,1,1,0,1,0,1,2,1,0,1,0,2,0,2,2,0,14000,14000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.91427,-80.20999,579121.4012,2866428.233,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
178,Point M,2.00505E+12,2005,49768710,FHPE05OFF008059,F,6,87,2/12/2005,830,6,100,MIAMI,N,SR 9A,95TH ST NW,0.113,MI,S,87270000,7.999,2301,SR    9A,I    95,L,4,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,3,0,1,1,1,1,1,1,0,0,4,1,0,1,0,77,77,1,0,0,0,1,0,1,1,0,5000,5000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.8578,-80.20802,579356.3234,2860175.891,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
183,Point M,2.00504E+12,2005,39076030,FHPE05OFF009298,F,6,87,2/18/2005,935,5,166,MIAMI,Y,SR 9A,125TH ST NW,1320,FT,S,87270000,9.883,7815,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,2,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,500,500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.88505,-80.20897,579243.2726,2863192.509,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
220,Point M,2.00505E+12,2005,49768700,FHPE05OFF007250,F,6,87,2/8/2005,1110,2,166,MIAMI,Y,I 95,95TH ST NW,0.028,MI,N,87270000,8.313,7812,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,291000,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,4,3,0,1,0,28,1,0,0,0,0,1,0,1,1,0,500,500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.86235,-80.20815,579339.9849,2860679.059,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
225,Point M,2.00505E+12,2005,49772910,FHPE05OFF029364,F,6,87,5/27/2005,1330,5,166,MIAMI,Y,SR 9A,SR 860,500,FT,N,87270000,14.495,2277,SR    9,I    95,M,M,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,177500,6.47,2D0000,55,0,3,0,1,1,1,1,2,1,0,0,1,1,0,1,0,20,2,1,0,0,0,1,0,1,1,0,5000,5000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.94261,-80.18818,581286.5962,2869579.862,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
230,Point M,2.00505E+12,2005,54322110,FHPE05OFF038959,F,6,87,7/11/2005,805,1,100,N MIAMI,N,SR 9A,151ST ST NW,0.25,MI,S,87270000,11.519,9156,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,2,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,3,0,0,0,3,0,3,3,0,1800,1800,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.9087,-80.20991,579132.8908,2865811.288,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
322,Point M,2.00506E+12,2005,55325210,FHPE05OFF027267,F,6,87,5/17/2005,1300,2,100,OPA LOCKA,N,SR 9A,151ST ST NW,0.25,MI,N,87270000,12.059,2291,SR    9A,I    95,L,4,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,1,0,1,1,1,1,2,3,0,0,4,1,0,1,0,6,3,0,0,0,0,3,0,3,3,0,4000,4000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25.91651,-80.21011,579108.0665,2866676.345,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
329,Point M,2.00507E+12,2005,65527540,FHPE05OFF035579,F,6,87,6/25/2005,1250,6,166,MIAMI,Y,SR 9A,SR 860,500,FT,N,87270000,14.495,2277,SR    9,I    95,M,M,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,177500,6.47,2D0000,55,0,4,0,1,1,1,1,2,1,0,0,1,1,0,1,0,20,77,1,0,1,0,1,0,1,1,0,4000,4000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.94261,-80.18818,581286.5962,2869579.862,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
331,Point M,2.00507E+12,2005,65531690,FHPE05OFF039171,F,6,87,7/12/2005,705,2,166,MIAMI,Y,SR 9A,SR 112,0.5,MI,N,87270000,5.354,7515,SR    9A,I    95,L,1,1,45,11/17/2004,5,11,1,1370,4,36,7, , ,10,0,0,60,194500,6.47, ,55,0,2,0,1,1,1,1,1,1,0,0,2,1,0,1,0,1,2,1,0,0,0,3,0,3,3,0,3000,3000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.81981,-80.20616,579567.837,2855969.332,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
348,Point M,2.00505E+12,2005,54322050,FHPE05OFF008500,F,6,87,2/14/2005,820,1,100,MIAMI,N,SR 9A,81ST ST NW,0.009,MI,S,87270000,7.346,2868,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47,3D0000,55,0,2,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,2,0,2,2,0,6000,6000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.84836,-80.2076,579405.0237,2859130.469,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
