FID,Shape *,KEYFIELD1,CALYEAR,CRASHNUM,CASENUMBER,AGENCY,DISTRICT,DOTCOUNTY,CRASHDATE,CRASHTIME,DAYOFWEEK,DHSCNTYCTY,TOWNNAME,INTOWNFLAG,ONROADNAME,INROADNAME,REFDIST,REFMEAS,REFDIRECT,ROADWAYID,LOCMILEPT,LOCNODE,SRROUTEID,USROUTEID,SIDEOFROAD,CRASHLANE,ROADCATGRY,SKIDNUMBER,SKIDTESTDT,RCIFEDHWY,RCIFUNCLAS,RCIACC,RCIPLACECD,RCILANDUSE,RCISURFWTH,RCISLDTYP1,RCISLDTYP2,RCISLDTYP3,RCISLDWTH1,RCISLDWTH2,RCISLDWTH3,RCIMEDWDTH,RCIAADT,RCIAVGTFCT,RCIHZDGCRV,RCIMAXSPD,RCITYPPARK,HIGHESTINJ,CRSHALCDRG,SITELOCA,LIGHTCOND,WEATHCOND,RDSURFCOND,DIV_UNDIV,TRAFCNTL1,TRAFCNTL2,CNTOFLANES,RDSURFTYPE,ROADCOND1,ROADCOND2,VISIBLTY1,VISIBLTY2,CRSHEVENT1,CRSHCAUSE1,CNTOFINJ,CNTOFFATL,CNTOFSVINJ,CNTOFPEDES,CNTOFDRVRS,CNTOFCYCLS,CNTOFVEH,CNTOFPERS,CNTNONTFTL,TOTCRSHDMG,TOTVEHDMG,TOTOTHRDMG,WORKZONE,FLAG_CMV,FLAG_INT,FL_LANEDEP,FL_AGGRSV,FL_VRU_PED,FL_VRU_BIK,FLELDERPED,FLPED5064,FLPED6569,FLPED7074,FLPED7579,FLPED80UP,FLMINORPED,FLELDERBIK,FLBIK5064,FLBIK6569,FLBIK7074,FLBIK7579,FLBIK80UP,FLMINORBIK,FL_VRU_MOT,FLMOT5064,FLMOT6569,FLMOT7074,FLMOT7579,FLMOT80UP,FL_AR_TEEN,FL_AR_AG,FL_AG5064,FL_AG6569,FL_AG7074,FL_AG7579,FL_AG80UP,FLAG_IMP,FL_IMP_PED,FLAG_DIST,FLAG_MIN,FLNOBTKID,FLNOBTMIN,FLNOBTTEEN,FL_NOBELT,LATITUDE,LONGITUDE,XCOORDINAT,YCOORDINAT,COORDSYS,MAPSOURCE,MAPVERSION,DTPUBLISHE,DTCARXTRCT,DTCOORDXTR,LINESEGID
13492,Point M,2.00574E+12,2005,744230250,FHPE05OFF051045,F,6,87,9/6/2005,2027,2,100,MIAMI,Y,SR 9A,69TH ST NW,1,MI,N,87270000,7.416,7808,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,2,0,1,1,1,1,1,3,0,0,4,1,0,1,0,1,2,2,0,0,0,3,0,3,3,0,2100,2100,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.84937,-80.20766,579397.6877,2859242.415,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13493,Point M,2.00574E+12,2005,744231060,FHPE05OFF063125,F,6,87,11/6/2005,1901,7,166,MIAMI,Y,SR 9A,79TH ST NW,1320,FT,N,87270000,7.533,2259,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,1,0,1,4,1,1,1,3,0,0,2,1,0,1,0,1,2,0,0,0,0,3,0,3,3,0,11500,11500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.85106,-80.20777,579385.4281,2859429.492,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13551,Point M,2.00574E+12,2005,744226090,FHPE05OFF012413,F,6,87,3/5/2005,347,6,166,MIAMI,Y,SR 9A,79TH ST NW,500,FT,S,87270000,7.135,2258,SR    9A,I    95,L,S,1,45,11/17/2004,5,11,1,1370,4,55,7, , ,10,0,0,24,208000,6.47,6D0000,55,0,4,0,1,4,2,1,1,1,0,0,2,1,0,1,0,77,5,1,0,1,0,3,0,3,4,0,8000,8000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25.84535,-80.20714,579453.235,2858797.3,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13559,Point M,2.00574E+12,2005,744228180,FHPE05OFF021649,F,6,87,4/19/2005,1040,2,100,N MIAMI,Y,SR 9A,151ST ST NW,150,FT,N,87270000,11.837,7823,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,0,0,0,0,3,0,3,3,0,16000,16000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.9133,-80.20994,579126.8472,2866320.96,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13563,Point M,2.00574E+12,2005,744228870,FHPE05OFF038644,F,6,87,7/9/2005,615,6,100,NORTH MIAMI,Y,SR 9A,135TH ST NW,150,FT,N,87270000,10.823,7896,SR    9A,I    95,M,M,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,1,0,1,1,3,2,1,1,0,0,4,1,0,1,0,20,2,0,0,0,0,1,0,1,1,0,3000,3000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.89864,-80.20963,579167.2672,2864697.274,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13566,Point M,2.00574E+12,2005,744229270,FHPE05OFF045699,F,6,87,8/11/2005,1207,4,166,MIAMI,Y,I 95,SR 112,500,FT,N,87270000,4.949,7799,SR    9A,I    95,L,4,1,45,11/17/2004,5,11,1,1370,4,36,7, , ,10,0,0,14,194500,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,4,1,0,1,0,77,18,0,0,0,0,4,0,4,5,0,16000,16000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,25.81395,-80.20595,579592.8057,2855320.813,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13571,Point M,2.00574E+12,2005,744218530,FHPE05OFF054913,F,6,87,9/26/2005,1627,1,166,MIAMI,Y,SR 9A,SR 826,300,FT,N,87270000,12.956,2289,SR    9A,I    95,L,4,1,40,11/17/2004,5,11,1,1500,6,48,1, , ,8,0,0,20,168000,6.47,3D0300,55,0,1,0,1,1,1,1,1,3,0,0,2,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,6000,6000,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.92802,-80.20607,579504.5867,2867953.57,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13584,Point M,2.00574E+12,2005,744222130,FHPE05OFF055401,F,6,87,9/29/2005,800,4,100,MIAMI,N,SR 9A,135TH ST NW,0.224,MI,N,87270000,11.047,2268,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,258000,6.47,0D2400,55,0,2,0,1,1,2,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,3,0,3,3,0,7500,7500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.90187,-80.20991,579137.8972,2865054.953,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13632,Point M,2.00574E+12,2005,744201750,FHPE05OFF061778,F,6,87,10/31/2005,2110,1,166,MIAMI,Y,SR 9A,81ST ST NW,0,FT, ,87270000,7.496,2302,SR    9A,I    95,L,X,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,2,0,8,4,2,3,2,5,0,0,4,1,0,1,0,1,2,1,0,0,0,3,0,3,4,0,12000,12000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25.85053,-80.20774,579389.3051,2859370.331,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13635,Point M,2.00574E+12,2005,744202220,FHPE05OFF054727,F,6,87,9/25/2005,1938,7,100,N MIAMI BCH,N,SR 9A,SR 826,2640,FT,N,87270000,13.296,7827,SR    9A,I    95,M,M,1,39,11/17/2004,5,11,1, ,2,36,1, , ,10,0,0,22,168000,6.47,3D0000,55,0,4,0,1,4,1,1,1,3,0,0,4,1,0,1,0,25,2,5,0,4,0,3,0,3,5,0,10000,10000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.93219,-80.20328,579780.9145,2868416.518,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13659,Point M,2.00574E+12,2005,743611280,FHPE05OFF062184,F,6,87,11/2/2005,1400,3,182,N MIAMI BEACH,Y,SR 9A,SR 860,2640,FT,N,87270000,14.9,7904,SR    9,I    95,L,2,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,177500,6.47,2D0000,55,0,1,0,1,1,1,1,1,3,0,0,4,1,0,1,0,3,1,0,0,0,0,2,0,2,2,0,600,600,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.94759,-80.18485,581616.3095,2870133.978,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13768,Point M,2.00574E+12,2005,744238390,FHPE05OFF036286,F,6,87,6/28/2005,1740,2,166,MIAMI,Y,SR 9A,79TH ST NW,0,FT, ,87270000,7.496,2302,SR    9A,I    95,L,X,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,2,0,8,1,3,2,2,5,0,0,2,1,0,1,0,1,2,1,0,0,0,2,0,2,4,0,1100,1100,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,25.85053,-80.20774,579389.3051,2859370.331,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13769,Point M,2.00574E+12,2005,744238440,FHPE05OFF037241,F,6,87,7/2/2005,1800,6,166,MIAMI,Y,SR 9A,79TH ST NW,0.5,MI,N,87270000,7.783,7810,SR    9A,I    95,L,4,1,38,11/17/2004,5,11,1, ,4,55,7, , ,10,0,0,24,291000,6.47, ,55,0,2,0,1,1,2,2,1,1,0,0,2,1,0,1,0,1,1,2,0,0,0,3,0,3,3,0,7000,7000,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.85468,-80.20791,579369.7924,2859829.919,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13802,Point M,2.00574E+12,2005,743638030,FHPE05OFF058976,F,6,87,10/15/2005,910,6,100,MIAMI,N,SR 9A,SR 7,2640,FT,S,87270000,12.117,9275,SR    9A,I    95,L,3,1,38,11/17/2004,5,11,1, ,4,36,1, , ,8,0,0,100,168000,6.47, ,55,0,2,0,1,1,2,2,1,1,0,0,4,1,0,1,0,1,2,2,0,0,0,2,0,2,3,0,1700,1700,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.91741,-80.21015,579102.9139,2866775.761,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13816,Point M,2.00574E+12,2005,744229440,FHPE05OFF049338,F,6,87,8/28/2005,700,7,100,N MIAMI,Y,I 95,135TH ST NW,150,FT,S,87270000,10.766,2839,SR    9A,I    95,M,M,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,3,0,1,1,1,1,1,1,0,0,4,1,0,1,0,20,2,2,0,0,0,1,0,1,2,0,5000,5000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.89781,-80.20959,579172.7393,2864606.034,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13817,Point M,2.00574E+12,2005,744229730,FHPE05OFF058076,F,6,87,10/11/2005,652,2,100,N MIAMI,N,SR 9A,SR 860,0.25,MI,S,87270000,14.042,3361,SR    9,I    95,M,M,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,168000,6.47, ,55,0,2,0,1,1,2,2,1,1,0,0,4,1,0,1,0,3,2,2,0,0,0,2,0,2,2,0,4000,4000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.93852,-80.19379,580727.2758,2869123.234,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13873,Point M,2.00574E+12,2005,743620250,FHPE05OFF060429,F,6,87,10/23/2005,1640,7,100,MIAMI,N,I 95,95TH ST NW,0.018,MI,N,87270000,8.303,7812,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,291000,6.47, ,55,0,1,1,1,4,1,1,1,3,0,0,2,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,6000,6000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,25.8622,-80.20815,579340.4577,2860663.045,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13890,Point M,2.00574E+12,2005,744228080,FHPE05OFF019644,F,6,87,4/8/2005,930,5,166,MIAMI,Y,SR 9A,79TH ST NW,500,FT,S,87270000,7.135,2258,SR    9A,I    95,L,2,1,45,11/17/2004,5,11,1,1370,4,55,7, , ,10,0,0,24,208000,6.47,6D0000,55,0,2,0,1,1,1,1,1,1,0,0,2,1,0,1,0,1,2,1,0,0,0,2,0,2,2,0,7000,7000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.84535,-80.20714,579453.235,2858797.3,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13891,Point M,2.00574E+12,2005,744228420,FHPE05OFF027466,F,6,87,5/18/2005,1110,3,100,N MIAMI,N,SR 9A,125TH ST NW,150,FT,S,87270000,10.105,2862,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,2000,2000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,25.88826,-80.20909,579228.4272,2863548.03,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13894,Point M,2.00574E+12,2005,744228820,FHPE05OFF037893,F,6,87,7/6/2005,847,3,100,N MIAMI,Y,SR 9A,135TH ST NW,150,FT,S,87270000,10.734,2839,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,1,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,2000,2000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.89735,-80.20956,579176.0016,2864554.876,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13986,Point M,2.00574E+12,2005,743611600,FHPE05OFF067722,F,6,87,11/29/2005,930,2,180,MIAMI,Y,SR 9A,SB ENT FROM SR 826  L,0,FT, ,87270000,12.73,2290,SR    9A,I    95,L,X,1,40,11/17/2004,5,11,1, ,6,48,1, , ,8,0,0,20,168000,6.47,2D0400,55,0,1,0,7,1,2,1,1,3,0,0,2,1,0,1,0,6,5,0,0,0,0,2,0,2,3,0,600,600,0,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,25.92572,-80.20861,579251.6665,2867696.917,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
13987,Point M,2.00574E+12,2005,743611660,FHPE05OFF069029,F,6,87,12/5/2005,850,1,180,NORTH MIAMI,Y,SR 9A,151ST ST NW,100,FT,N,87270000,11.864,7823,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,3,0,1,1,2,1,1,3,0,0,4,1,0,1,0,1,2,2,0,0,0,2,0,2,3,0,2000,2000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,25.91369,-80.20996,579124.8953,2866364.198,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14136,Point M,2.00574E+12,2005,743631260,FHPE05OFF071719,F,6,87,12/17/2005,705,6,129,AVENTURA,N,SR 9A,SR 860,2640,FT,N,87270000,14.9,7904,SR    9,I    95,L,S,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,177500,6.47,2D0000,55,0,4,0,1,1,1,1,1,3,0,0,2,1,0,1,0,1,2,1,0,1,0,2,0,2,2,0,5000,5000,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.94759,-80.18485,581616.3095,2870133.978,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14142,Point M,2.00574E+12,2005,744229340,FHPE05OFF047472,F,6,87,8/19/2005,633,5,166,MIAMI,Y,SR 9A,62ND ST NW,150,FT,N,87270000,6.275,7805,SR    9A,I    95,L,2,1,45,11/17/2004,5,11,1,1370,4,55,7, , ,10,0,0,24,208000,6.47,2D0000,55,0,1,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,4000,4000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.83308,-80.20577,579598.1715,2857439.041,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14145,Point M,2.00574E+12,2005,744229980,FHPE05OFF065546,F,6,87,11/18/2005,817,5,100,NORTH MIAMI,N,SR 9A,SR 860,150,FT,N,87270000,14.428,3145,SR    9,I    95,L,2,1,39,11/17/2004,5,11,1, ,6,48,1, , ,8,0,0,26,177500,6.47, ,55,0,1,0,1,1,3,2,1,1,0,0,4,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,1000,1000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.94193,-80.18894,581210.6041,2869504.047,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14154,Point M,2.00574E+12,2005,744234640,FHPE05OFF050860,F,6,87,9/5/2005,55,1,180,N MIAMI,Y,SR 9A,151ST ST NW,300,FT,S,87270000,11.752,2843,SR    9A,I    95,M,M,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,4,1,1,5,3,2,1,1,0,0,2,1,0,1,0,77,2,1,0,1,0,1,0,1,1,0,3000,3000,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,25.91207,-80.20992,579129.4717,2866184.724,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14213,Point M,2.00574E+12,2005,744227900,FHPE05OFF014456,F,6,87,3/14/2005,1000,1,100,NORTH MIAMI,N,SR 9A,151ST ST NW,150,FT,S,87270000,11.741,2843,SR    9A,I    95,L,2,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,2,0,1,1,1,1,1,1,0,0,2,1,0,1,0,1,2,2,0,0,0,2,0,2,3,0,3500,3500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.91191,-80.20992,579129.8113,2866167.093,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14225,Point M,2.00574E+12,2005,744218700,FHPE05OFF059119,F,6,87,10/15/2005,2144,6,166,MIAMI,Y,I 95,SB EXIT TO WB SR 826,0, , ,87270000,13.172,8671,SR    9A,I    95,L,X,1,40,11/17/2004,5,11,1,1500,6,48,1, , ,8,0,0,20,168000,6.47, ,55,0,1,0,8,4,1,1,2,1,0,0,2,1,0,1,0,6,3,0,0,0,0,2,0,2,4,0,700,700,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.93084,-80.20458,579652.1821,2868266.16,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14226,Point M,2.00574E+12,2005,744218770,FHPE05OFF063136,F,6,87,11/6/2005,815,7,166,MIAMI,Y,SR 9A,119TH ST NW,0.114,MI,S,87270000,9.506,2264,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,189500,6.47, ,55,0,3,0,1,4,1,1,1,3,0,0,2,1,0,1,0,1,2,2,0,0,0,3,0,3,5,0,6000,6000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.8796,-80.20897,579246.9857,2862588.648,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14227,Point M,2.00574E+12,2005,744219310,FHPE05OFF023757,F,6,87,4/30/2005,157,6,182,N MIAMI BCH,Y,SR 9A,SR 826,100,FT,S,87270000,12.777,2847,SR    9A,I    95,M,M,1,40,11/17/2004,5,11,1, ,6,48,1, , ,8,0,0,20,168000,6.47,2D0400,55,0,2,0,3,4,1,1,1,1,0,0,2,1,0,1,0,18,2,4,0,0,0,1,0,1,4,0,5000,5000,0,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,25.92616,-80.20804,579308.1087,2867746.754,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14233,Point M,2.00574E+12,2005,744221370,FHPE05OFF053005,F,6,87,9/16/2005,1617,5,166,MIAMI,Y,SR 9A,79TH ST NW,150,FT,N,87270000,7.311,7807,SR    9A,I    95,L,S,1,38,11/17/2004,5,11,1,1370,4,55,7, , ,10,0,0,24,291000,6.47,3D0000,55,0,1,0,1,1,2,1,1,3,0,0,2,1,0,1,0,77,5,0,0,0,0,2,0,2,2,0,6000,6000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,25.84786,-80.20756,579408.6922,2859074.488,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
14239,Point M,2.00574E+12,2005,744212520,FHPE05OFF048661,F,6,87,8/25/2005,120,4,100,OPA LOCKA,N,SR 9A,135TH ST NW,1.023,MI,N,87270000,11.846,7823,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,3,0,1,4,2,2,1,1,0,0,2,1,0,1,0,6,5,5,0,0,0,2,0,2,6,0,5501,3001,2500,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,25.91343,-80.20994,579126.4676,2866335.382,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
